Common name,Species name,Morpho species name (e.g. Orthoptera_004),Body Type,Body Constriction,Leg number,Leg type,If > 8 legs,Wing number,Wing texture,Antennae,Antenna length,Mouth-parts,Abdomen appendage,Size,Presence of eyes,Head shape features,Length of elytra,Ant Subfamilies,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Sub-family
Nerite snail,n/a,n/a,Shell,No,0,No special features or no legs,,0,No wings,Absent,No antenna,Enclosed/not visible,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Mollusca,n/a,Gastropoda,Neritimorpha,n/a,n/a,n/a,n/a,n/a,n/a
Land snail and land slug,n/a,n/a,Shell,No,0,No special features or no legs,,0,No wings,Absent,No antenna,Enclosed/not visible,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Mollusca,n/a,Gastropoda,Heterobranchia,n/a,n/a,n/a,n/a,n/a,n/a
Earthworm,n/a,n/a,Soft body,No,0,No special features or no legs,,0,No wings,Absent,No antenna,Enclosed/not visible,Absent,Really small | Small 5-10mm | Large > 10mm,No or extremely reduced,Nothing special,,,Annelida,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Springtail,n/a,COLLEMBOLA_001,Tough exoskeleton,No,6,No special features or no legs,,0,No wings,Filiform,Short | Medium | Long,Enclosed/not visible,1 Furculum,Really small | Small 5-10mm,Yes | No or extremely reduced,Nothing special,,,Arthropoda,Hexapoda,Collembola,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Two-pronged bristletail,n/a,n/a,Tough exoskeleton,No,6,No special features or no legs,,0,No wings,Filiform | Bead-like,Medium,Enclosed/not visible,2 Grasping cerci | 2 Tail-like cerci,Really small | Small 5-10mm | Large > 10mm,No or extremely reduced,Nothing special,,,Arthropoda,Hexapoda,n/a,n/a,n/a,Diplura,n/a,n/a,n/a,n/a
Protura,n/a,n/a,Tough exoskeleton,No,6,No special features or no legs,,0,No wings,Filiform | Bead-like,Short,Enclosed/not visible,Absent,Really small,No or extremely reduced,Nothing special,,,Arthropoda,Hexapoda,n/a,n/a,n/a,Protura,n/a,n/a,n/a,n/a
Jumping bristle tail,n/a,n/a,Tough exoskeleton,No,6,No special features or no legs,,0,No wings,Filiform,Medium | Long,Enclosed/not visible,3 Tail-like cerci,Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Arthropoda,Hexapoda,Insecta,n/a,n/a,Archaeognatha,n/a,n/a,n/a,n/a
Cockroach,n/a,BLATTODEA_001,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform,Long,Chewing,2 Tail-like cerci,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special | Pronotum,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Dictyoptera,Blattodea,n/a,n/a,n/a,n/a
Termite,n/a,BLATTODEA_004,Tough exoskeleton,No,6,No special features or no legs,,0 | 4,"No wings | Membraneous, complex",Filiform,Long,Chewing,2 Tail-like cerci,Really small | Small 5-10mm,Yes,Nothing special,,,Arthropoda,Hexapoda,Insecta,Pterygota,Dictyoptera,Blattodea,n/a,Termitoidea,n/a,n/a
Beetle,n/a,COLEOPTERA_007,Tough exoskeleton,No,6,No special features or no legs | Front legs flattened for digging,,2 + elytra,"Membraneous, complex",Filiform | Bead-like | Long first segment | Club at the end,Short | Medium | Long,Chewing,2 Tail-like cerci,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,Short | Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,n/a,n/a
Christmas beetle (green),Anoplognathus smaragdinus,COLEOPTERA_001,Tough exoskeleton,No,6,No special features or no legs | Front legs flattened for digging,,2 + elytra,"Membraneous, complex",Bead-like | Club at the end,Short,Chewing,Absent,Large > 10mm,Yes,Nothing special,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Scarabaeidae,n/a
Christmas beetle,n/a,COLEOPTERA_002,Tough exoskeleton,No,6,No special features or no legs | Front legs flattened for digging,,2 + elytra,"Membraneous, complex",Bead-like | Club at the end,Short,Chewing,Absent,Small 5-10mm | Large > 10mm,Yes,Nothing special,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Scarabaeidae,n/a
Weevil,n/a,COLEOPTERA_003,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform | Bead-like,Short | Medium,Chewing,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Elongated with rostrum,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Curculionoidea,n/a
Longhorn Beetle,n/a,COLEOPTERA_004,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform,Long,Chewing,Absent,Small 5-10mm | Large > 10mm,Yes,Nothing special,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Cerambycidae,n/a
Rove Beetle,n/a,COLEOPTERA_005,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform | Bead-like,Short | Medium,Chewing,2 Tail-like cerci,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,Short,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Staphylinidae,n/a
Tortoise Beetle,n/a,COLEOPTERA_006,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform | Bead-like,Medium | Long,Chewing,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,Long,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Coleoptera,n/a,n/a,Chrysomelidae,n/a
Darkling Beetle,n/a,COLEOPTERA_009,Tough exoskeleton,No,6,No special features or no legs,,2 + elytra,"Membraneous, complex",Filiform,Medium | Long,Chewing,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,Long,,Arthropoda,Hexapoda,Insecta,n/a,n/a,Coleoptera,n/a,n/a,Tenebrionidae,n/a
Earwig,n/a,n/a,Tough exoskeleton,No,6,No special features or no legs | Front legs flattened for digging,,2 + elytra,"Membraneous, complex",Filiform,Medium | Long,Chewing,2 Grasping cerci,Small 5-10mm | Large > 10mm,Yes,Nothing special,Short | Long,,Arthropoda,Hexapoda,Insecta,Pterygota,n/a,Dermaptera,n/a,n/a,n/a,n/a
Fly,n/a,n/a,Tough exoskeleton,No,6,No special features or no legs,,2 + halteres,"Membraneous, complex",Filiform | Biramous,Short | Medium | Long,Chewing | Piercing or sucking,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Arthropoda,Hexapoda,Insecta,Pterygota,Holometabola,Diptera,n/a,n/a,n/a,n/a
Dark-winged fungus gnat,n/a,DIPTERA_001,Tough exoskeleton,No,6,No special features or no legs,,2 + halteres,"Membraneous, complex",Filiform,Medium | Long,Chewing,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Arthropoda,Hexapoda,Insecta,Pterygota,n/a,Diptera,Nematocera,Sciaridae,n/a,n/a
Fly,n/a,DIPTERA_002,Tough exoskeleton,No,6,No special features or no legs,,2 + halteres,"Membraneous, complex",Filiform,Medium | Long,Chewing | Piercing or sucking,Absent,Really small | Small 5-10mm | Large > 10mm,Yes,Nothing special,,,Arthropoda,Hexapoda,Insecta,Pterygota,n/a,Diptera,Nematocera,n/a,n/a,n/a
